"RANK","NAME","TEAM","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Keegan Murray","Sac","F","24.5","48","35.1","14.7","7.9","49","0.816","248","0.552","266","0.327","0.52","0.537","12","7.1","1.4","0.8","0.8","0.9","19","13.4","20.4","5.6","112.2","111.3"
"","Jared McCain","Phi","G","21","23","25.7","25","11.9","56","0.875","141","0.532","133","0.383","0.553","0.589","15.3","2.4","2.6","0.7","0","1.6","17.7","17.9","20.3","7.1","113","115.1"
"","Alexandre Sarr","Was","C","19.8","41","26.8","20.6","11.3","87","0.644","259","0.463","189","0.307","0.462","0.483","11.5","6.6","2.2","0.7","1.6","1.4","18.1","13.7","20.3","8.2","100.1","113.4"
"","Jerami Grant","Por","F","30.9","40","32.3","19.5","9.5","142","0.852","241","0.39","245","0.38","0.48","0.536","14.7","3.3","2.2","0.7","1.1","1.3","18","16.9","20.3","5.9","111.2","114.7"
"","Aaron Gordon","Den","F","29.4","30","26.7","17.9","13.5","97","0.784","171","0.561","84","0.405","0.576","0.621","12.3","4.7","3.1","0.5","0.3","1.3","17.1","15.4","20.1","8.4","124.5","113.4"
"","Tre Mann","Cha","G","24","13","24.5","25.9","13.4","21","0.905","101","0.455","60","0.4","0.509","0.537","14.1","2.9","3","0.5","0.3","1.9","17","17.1","20","8.1","106.2","112.5"
"","D'Angelo Russell","Lal","G","29","29","26.3","22.2","13.8","53","0.849","143","0.51","168","0.333","0.505","0.537","12.4","2.8","4.7","0.8","0.1","1.7","15.1","17","19.8","8.3","108.4","111.4"
"","Draymond Green","Gol","F","34.9","37","28.2","15.3","25.6","73","0.589","124","0.492","135","0.356","0.514","0.531","8.4","5.9","5.5","1.1","1.1","2.4","14.3","13.9","19.8","9.2","105.3","103.7"
"","Nick Richards","Pho","C","27.2","10","24.1","16.8","23.7","26","0.731","60","0.583","1","0","0.574","0.614","8.9","10","0.7","0.3","0.8","1.9","18.9","9.6","19.6","6.6","110.1","102.2"
"","Dereck Lively II","Dal","C","21","32","24","13.7","18","69","0.638","177","0.701","0","0","0.701","0.704","9.1","7.8","2.6","0.5","1.7","1.2","17","11.8","19.6","9.5","138","103.6"
"","Jusuf Nurkic","Pho","C","30.5","25","23.7","18.7","25.9","69","0.696","104","0.529","59","0.322","0.512","0.556","8.6","9.2","1.9","0.9","0.6","2.3","17.8","10.5","19.6","9","100.9","99.9"
"","Clint Capela","Atl","C","30.7","45","22.4","16.6","11.8","85","0.541","330","0.573","0","0","0.573","0.577","9.4","9","1.2","0.6","1","1","18.4","10.6","19.6","8.3","118.7","106.8"
"","Jabari Smith Jr.","Hou","F","21.7","33","30.9","15.2","9","75","0.867","155","0.516","158","0.354","0.524","0.568","11.9","6.5","1","0.4","1","0.9","18.5","12.9","19.5","5.5","119.1","107.1"
"","Goga Bitadze","Orl","C-F","25.6","42","23.9","15.4","18","86","0.651","241","0.668","19","0.105","0.631","0.645","9.1","8.1","2.3","0.8","1.6","1.4","17.2","11.4","19.5","9.3","124","101.1"
"","Andrew Nembhard","Ind","G-F","25.1","34","28.5","17.4","17","84","0.762","211","0.531","82","0.329","0.52","0.559","10.9","3.4","5.1","1.3","0.1","1.8","14.3","15.9","19.4","8.1","112.9","111.4"
"","Rui Hachimura","Lal","F","27","42","32","15.7","8.6","79","0.772","244","0.557","161","0.422","0.588","0.611","12.8","5.1","1.5","0.8","0.5","0.9","17.9","14.3","19.4","5.8","121","112.3"
"","Terry Rozier","Mia","G","30.9","45","28.5","20.7","11.4","85","0.859","263","0.506","236","0.301","0.48","0.515","12.3","4.2","2.9","0.6","0.3","1.4","16.4","15.2","19.4","7.5","104.4","112.6"
"","Nic Claxton","Bro","C","25.8","44","26.4","16.8","13.1","104","0.529","330","0.57","14","0.071","0.551","0.557","9.9","7.4","2","0.9","1.3","1.2","17.3","11.8","19.3","8","112.1","108.8"
"","Moritz Wagner","Orl","F-C","27.8","30","18.8","26.7","16.4","110","0.718","174","0.649","75","0.36","0.616","0.649","12.9","4.9","1.4","0.8","0.4","1.6","17.8","14.3","19.2","9.5","116.8","101.3"
"","Klay Thompson","Dal","G","35","45","27.3","21.2","10.8","41","0.902","185","0.47","345","0.391","0.546","0.562","13.7","3.4","2","0.8","0.4","1.4","17.1","15.7","19.2","6.6","108.8","115"
"","Tyus Jones","Pho","G","28.7","49","29.3","15.7","12.9","40","0.875","191","0.534","239","0.414","0.583","0.599","10.9","2.3","5.8","0.9","0.1","1.3","13.3","16.8","19.1","7.2","124.6","119.7"
"","Jrue Holiday","Bos","G","34.7","44","30.2","15.9","12.8","60","0.9","177","0.559","225","0.342","0.534","0.564","11","4.4","3.7","1","0.4","1.3","15.4","14.7","19.1","7.5","117.7","109.8"
"","Dillon Brooks","Hou","G-F","29","48","32.3","17.3","8.1","75","0.84","276","0.453","292","0.387","0.518","0.542","13.6","3.8","1.5","0.8","0.2","1","17.4","15.1","18.9","5.3","113.9","104.8"
"","Guerschon Yabusele","Phi","F","29.1","48","26.8","16.5","14.2","90","0.733","197","0.629","182","0.401","0.616","0.637","11.1","5.7","2","0.8","0.4","1.3","16.8","13.1","18.8","7.5","122.8","109.2"
"","Stephon Castle","San","G","20.3","47","25.5","23.7","15.3","155","0.716","326","0.479","182","0.275","0.455","0.497","12.2","2.8","3.7","0.8","0.3","2","15","15.9","18.7","7.9","101.1","112.7"
"","Zach Edey","Mem","C","22.7","37","20.9","17.7","18","75","0.68","216","0.63","39","0.359","0.616","0.634","9.9","7.8","1","0.6","1.2","1.5","17.6","10.9","18.6","8.1","120","100"
"","Tari Eason","Hou","F","23.7","34","23.7","19","9.4","71","0.746","209","0.541","99","0.343","0.532","0.562","11.2","6.3","1.1","1.9","0.9","0.9","17.5","12.3","18.6","7.2","117.6","99.3"
"","Brook Lopez","Mil","C","36.9","48","32.1","15.2","9.4","65","0.8","213","0.596","248","0.371","0.575","0.594","12.1","4.7","1.7","0.7","1.9","1","16.8","13.8","18.5","5.7","116.2","110.3"
"","Wendell Carter Jr.","Orl","C-F","25.8","40","25.6","15.5","12.4","115","0.73","185","0.578","91","0.209","0.491","0.543","8.9","7.2","2.3","0.9","0.5","1","16.1","11.2","18.4","8.3","116.2","100.2"
"","Donte DiVincenzo","Min","G","28","40","26.4","19.2","15.8","50","0.82","95","0.474","279","0.369","0.533","0.556","11","3.7","3.6","1.2","0.2","1.8","14.7","14.6","18.3","8","109.7","108.4"
"","Ben Simmons","Bro","G-F","28.6","33","25","14.4","34.1","26","0.692","170","0.547","0","0","0.547","0.562","6.2","5.2","6.9","0.8","0.5","2.7","11.4","13.1","18.3","9.7","108.8","107.7"
"","Yves Missi","Nor","C","20.7","48","27.2","13.4","15.9","129","0.651","300","0.56","1","0","0.558","0.587","8.8","8","1.4","0.6","1.4","1.2","16.8","10.2","18.2","6.8","120.6","114.6"
"","Jaden McDaniels","Min","F","24.4","52","31.4","15.3","10.8","70","0.8","288","0.545","198","0.338","0.53","0.552","11","5.5","1.7","1.4","0.9","1.1","16.5","12.7","18.2","6","112.2","104.3"
"","Keldon Johnson","San","F-G","25.3","45","23.8","21.1","7.9","115","0.765","276","0.547","167","0.305","0.514","0.55","12.1","4.7","1.4","0.6","0.2","0.8","16.8","13.5","18.2","7.2","112.4","112"
"","Toumani Camara","Por","F","24.8","50","32.2","13.9","15","75","0.733","217","0.535","207","0.357","0.535","0.557","10.2","5.9","2","1.4","0.6","1.5","16.1","12.2","18.1","6.1","111.9","110.4"
